Problem,Cargo,Tightness,Success Mean,Success Variance,Computation Time Mean,Computation Time Variance,Heuristic Computation Time Mean,Heuristic Computation Time Variance,States Evaluated Mean,States Evaluated Variance,Heuristic States Evaluated Mean,Heuristic States Evaluated Variance,Dead Ends Mean,Dead Ends Variance
Prob-4-12-4-1-26-1_125-134,1,1.125000,1.0,0.0,0.824,0.0357903448276,0.00473333333333,1.37471264368e-06,3.0,0.0,85.0,0.0,0.0,0.0
Prob-4-12-4-1-28-2_0-141,1,2.000000,1.0,0.0,1.04633333333,0.00264471264368,0.0017,5.62068965517e-07,1.0,0.0,302.0,0.0,0.0,0.0
Prob-4-12-4-1-26-1_25-133,1,1.250000,1.0,0.0,0.583333333333,5.05747126437e-05,0.0013,2.86206896552e-07,1.0,0.0,28.0,0.0,0.0,0.0
Prob-4-12-4-2-6-1_25-183,2,1.250000,0.0,0.0,1801.24066667,0.244371954023,None,None,None,None,None,None,506.666666667,5.6091954023
Prob-4-12-4-3-2-1_5-312,3,1.500000,1.0,0.0,4.75966666667,0.0882516091954,0.00923333333333,2.80574712644e-06,6.0,0.0,1586.0,0.0,0.0,0.0
Prob-4-12-4-2-19-1_25-248,2,1.250000,1.0,0.0,1.05166666667,0.00125574712644,0.00243333333333,4.6091954023e-07,1.0,0.0,146.0,0.0,0.0,0.0
Prob-4-12-4-2-13-1_125-219,2,1.125000,1.0,0.0,1.037,0.000325172413793,0.0019,3e-07,1.0,0.0,146.0,0.0,0.0,0.0
Prob-4-12-4-1-0-1_125-4,1,1.125000,1.0,0.0,0.585333333333,8.7816091954e-05,0.00126666666667,2.02298850575e-07,1.0,0.0,28.0,0.0,0.0,0.0
Prob-4-12-4-3-0-1_0625-305,3,1.062500,0.0,0.0,1789.70833333,5.18677298851,None,None,None,None,None,None,121.0,0.0
Prob-4-12-4-1-17-1_125-89,1,1.125000,1.0,0.0,0.62,4.13793103448e-05,0.0015,4.65517241379e-07,1.0,0.0,47.0,0.0,0.0,0.0
Prob-4-12-4-3-15-2_0-376,3,2.000000,1.0,0.0,6.067,0.0553389655172,0.00666666666667,1.19540229885e-06,4.0,0.0,2496.0,0.0,0.0,0.0
Prob-4-12-4-1-17-2_0-86,1,2.000000,1.0,0.0,0.622333333333,0.000142643678161,0.00203333333333,3.09195402299e-07,1.0,0.0,47.0,0.0,0.0,0.0
Prob-4-12-4-3-1-1_5-307,3,1.500000,1.0,0.0,90.926,0.356562758621,0.0331333333333,1.17057471264e-05,11.0,0.0,7122.0,0.0,0.0,0.0
